,artist_id,artist_name,genres,popularity
187,5DIi2JWfQPTKffaVBlIYRn,Sik-K,"['k-pop', 'k-rap', 'korean r&b']",62
188,2u7CP5T30c8ctenzXgEV1W,pH-1,"['k-pop', 'k-rap', 'korean r&b']",65
189,1MAUqH0haKBYbjpknTfreY,PENOMECO,"['k-pop', 'k-rap', 'korean r&b']",57
190,6dhfy4ByARPJdPtMyrUYJK,Yerin Baek,"['k-pop', 'korean pop']",62
191,6TLwD7HPWuiOzvXEa3oCNe,Oliver Tree,['alternative hip hop'],80
192,4XDi67ZENZcbfKnvMnTYsI,Jay Park,"['k-pop', 'k-rap', 'korean r&b']",72
193,7bD48oLsrx39CrT0SJ3nQq,TOYO,[],5
194,68ym0sOo7MazZxScbm1wtI,VIBE,['korean pop'],36
195,0UEP2XBR9aC5NBKcAKnBIq,CHEN,['k-pop'],61
196,3S79khDmqHqH3SudDjO6dV,NO:EL,['k-rap'],48
197,7cYEt1pqMgXJdq00hAwVpT,Chase Atlantic,['pop'],84
198,5FxD8fkQZ6KcsSYupDVoSO,Omar Apollo,"['alternative r&b', 'bedroom pop', 'bedroom soul', 'chill r&b', 'indie r&b', 'pop', 'r&b']",69
199,6USv9qhCn6zfxlBQIYJ9qs,Dominic Fike,"['alternative pop rock', 'pop']",78
200,1rHOtdmGNr5vcYNw5v7QGC,Kenny Beats,"['trap', 'underground hip hop']",69
201,2h93pZq0e7k5yf4dywlkpM,Frank Ocean,"['alternative r&b', 'hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",87
202,2uYisEeWBn5hp3e8ObdeUV,PRXZM,['indie electropop'],45
203,12Zk1DFhCbHY6v3xep2ZjI,070 Shake,"['alternative r&b', 'new jersey rap']",68
204,5vSQUyT33qxr1xAX2Tkf3A,Clams Casino,"['experimental hip hop', 'psychedelic hip hop', 'underground hip hop', 'wave']",63
205,6Xb4ezwoAQC4516kI89nWz,Imogen Heap,"['etherpop', 'indie pop', 'metropopolis']",60
206,6mK0vAO13gT8jWYANyoXAl,Young Franco,"['aussietronica', 'indie soul']",58
207,6fxyWrfmjcbj5d12gXeiNV,Denzel Curry,"['dark trap', 'drill', 'hip hop', 'miami hip hop', 'rap', 'underground hip hop']",77
208,2O2dI9lY9PnWtAa4OlrgMi,Pell,['underground hip hop'],57
209,5Lhxlge1CR1DrgDAje8Qaw,NoMBe,"['electropop', 'indie poptimism', 'indie soul', 'modern rock', 'vapor soul']",63
210,5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,"['dance pop', 'pop']",94
211,6qgnBH6iDM91ipVXv28OMu,KAYTRANADA,"['escape room', 'indie soul', 'lgbtq+ hip hop']",73
212,64H8UqGLbJFHwKtGxiV8OP,THE ANXIETY,['modern alternative pop'],76
213,3rWZHrfrsPBxVy692yAIxF,WILLOW,"['afrofuturism', 'dance pop', 'electropop', 'pop', 'post-teen pop']",82
214,1xoxekeb8jUVHKJB7m6bfg,Tyler Cole,['bedroom soul'],76
